ComponentID,DrawableID,TextureID,Name,TorsoComponentID,TorsoDrawableID,TorsoTextureID
11,0,0,"Crew-T-Shirt",3,0,0
11,0,1,"Yeti T-Shirt",3,0,0
11,0,2,"Anthrazitgraues T-Shirt",3,0,0
11,0,3,"Stank T-Shirt",3,0,0
11,0,4,"Ranch T-Shirt",3,0,0
11,0,5,"Pikeys T-Shirt",3,0,0
11,0,7,"Multi-Logo T-Shirt",3,0,0
11,0,8,"Sweatbox T-Shirt",3,0,0
11,0,11,"Eris T-Shirt",3,0,0
11,1,0,"Weiß, V-Ausschnitt",3,0,0
11,1,1,"Aschgrau, V-Ausschnitt",3,0,0
11,1,3,"Swallow, V-Ausschnitt",3,0,0
11,1,4,"Harsh Souls, V-Ausschnitt",3,0,0
11,1,5,"Broker, V-Ausschnitt",3,0,0
11,1,6,"Hip-Hop Royalty, V-Ausschnitt",3,0,0
11,1,7,"Grün, V-Ausschnitt",3,0,0
11,1,8,"G&B, V-Ausschnitt",3,0,0
11,1,11,"Orange, V-Ausschnitt",3,0,0
11,1,12,"Braun, V-Ausschnitt",3,0,0
11,1,14,"Signs, V-Ausschnitt",3,0,0
11,1,15,"Blau gestreift, V-Ausschnitt",3,0,0
11,2,9,"LS Pounders Trikot",3,2,0
11,3,0,"Zweifarbige Trainingsjacke",3,1,0
11,3,1,"Graue Trainingsjacke",3,1,0
11,3,2,"Schwarze Trainingsjacke",3,1,0
11,3,3,"Blaue Trainingsjacke",3,1,0
11,3,4,"Marineblaue Trainigsjacke",3,1,0
11,3,5,"Rote Trainingsjacke",3,1,0
11,3,6,"Grüne Trainingsjacke",3,1,0
11,3,7,"Orange Trainingsjacke",3,1,0
11,3,8,"Gelbe Trainingsjacke",3,1,0
11,3,9,"Lila Trainingsjacke",3,1,0
11,3,10,"Braune Trainingsjacke",3,1,0
11,3,11,"Hellbraune Trainigsjacke",3,1,0
11,3,12,"Lavendelfarbene Trainigsjacke",3,1,0
11,3,13,"Dreifarbige Trainingsjacke",3,1,0
11,3,14,"Blau-orange Trainingsjacke",3,1,0
11,3,15,"Rote gestreifte Trainingsjacke",3,1,0
11,4,0,"Schwarzes Sportsakko",3,1,0
11,4,2,"Rotes Sportsakko",3,1,0
11,4,3,"Graues Sportsakko",3,1,0
11,4,11,"Blaues Sportsakko",3,1,0
11,4,14,"Luxuriöses Sportsakko",3,1,0
11,5,0,"Weißes Tanktop",3,5,0
11,5,1,"Graues Tanktop",3,5,0
11,5,2,"Schwarzes Tanktop",3,5,0
11,5,7,"Rotes Tanktop",3,5,0
11,6,0,"Silbern gestreifte Lederjacke",3,1,0
11,6,1,"Blau gestreifte Lederjacke",3,1,0
11,6,3,"Rote Lederjacke",3,1,0
11,6,4,"Weiße Lederjacke",3,1,0
11,6,5,"Blaue Lederjacke",3,1,0
11,6,6,"Lonewolf Lederjacke",3,1,0
11,6,8,"Grau gestreifte Lederjacke",3,1,0
11,6,9,"Grau gebänderte Lederjacke",3,1,0
11,6,11,"Braune Wildlederjacke",3,1,0
11,7,0,"Weißer Kapuzenpullover",3,1,0
11,7,1,"Grauer Kapuzenpullover",3,1,0
11,7,2,"Schwarzer Kapuzenpullover",3,1,0
11,7,3,"Himmelblauer Kapuzenpullover",3,1,0
11,7,4,"Marineblauer Kapuzenpullover",3,1,0
11,7,5,"Roter Kapuzenpullover",3,1,0
11,7,6,"Grüner Kapuzenpullover",3,1,0
11,7,7,"Oranger Kapuzenpullover",3,1,0
11,7,8,"Gelber Kapuzenpullover",3,1,0
11,7,9,"Lila Kapuzenpullover",3,1,0
11,7,10,"Brauner Kapuzenpullover",3,1,0
11,7,11,"Hellbrauner Kapuzenpullover",3,1,0
11,7,12,"Helllila Kapuzenpullover",3,1,0
11,7,13,"Tarn-Kapuzenpullover",3,1,0
11,7,14,"Schneetarn-Kapuzenpullover",3,1,0
11,7,15,"Schiefergrauer Kapuzenpullover",3,1,0
11,8,0,"Rot abgesetztes Trikot",3,11,0
11,8,10,"Himmelblaues Trikot",3,11,0
11,8,13,"Schiefergraues Trikot",3,11,0
11,8,14,"Graues zweifarbiges Trikot",3,11,0
11,9,0,"Weiß gestreiftes Polohemd",3,11,0
11,9,1,"Stahlgraues Polohemd",3,11,0
11,9,2,"Dunkles Polohemd",3,11,0
11,9,3,"Rosa Polohemd",3,11,0
11,9,4,"Blaues Polohemd",3,11,0
11,9,5,"Leuchtend oranges Polohemd",3,11,0
11,9,6,"Lachsfarbenes Polohemd",3,11,0
11,9,7,"Lila Polohemd",3,11,0
11,9,10,"Blaues gebändertes Polohemd",3,11,0
11,9,11,"Frostweißes Polohemd",3,11,0
11,9,12,"Hellgrünes Polohemd",3,11,0
11,9,13,"Dunkelgrünes Polohemd",3,11,0
11,9,14,"Rotes Polohemd",3,11,0
11,9,15,"Sonnengelbes Polohemd",3,11,0
11,10,0,"Schiefergraues Sakko",3,4,0
11,10,1,"Graues Sakko",3,4,0
11,10,2,"Blaues Sakko",3,4,0
11,11,0,"Graue Weste",3,4,0
11,11,1,"Schwarze Weste",3,4,0
11,11,7,"Pinke Weste",3,4,0
11,11,14,"Nadelstreifen-Weste",3,4,0
11,12,0,"Weiß, lose",3,1,0
11,12,1,"Stahlgrau, lose",3,1,0
11,12,2,"Schwarz, lose",3,1,0
11,12,3,"Himmelblau, lose",3,1,0
11,12,4,"Marineblau, lose",3,1,0
11,12,5,"Rot, lose",3,1,0
11,12,6,"Moosgrün, lose",3,1,0
11,12,7,"Aschgrau, lose",3,1,0
11,12,8,"Senfgelb, lose",3,1,0
11,12,9,"Buttergelb, lose",3,1,0
11,12,10,"Waldgrün, lose",3,1,0
11,12,11,"Azurblau, lose",3,1,0
11,13,0,"Weiß, reingesteckt",3,11,0
11,13,1,"Silber, reingesteckt",3,11,0
11,13,2,"Schwarz, reingesteckt",3,11,0
11,13,3,"Blau, reingesteckt",3,11,0
11,13,5,"Burgunderrot, reingesteckt",3,11,0
11,13,13,"Grün kariert, reingesteckt",3,11,0
11,14,0,"Blaues Karohemd",3,1,0
11,14,1,"Gelbes Karohemd",3,1,0
11,14,2,"Aschgraues Karohemd",3,1,0
11,14,3,"Zitronengelbes Karohemd",3,1,0
11,14,4,"Oranges Karohemd",3,1,0
11,14,5,"Obstfarbenes Karohemd",3,1,0
11,14,6,"Aquablaues Karohemd",3,1,0
11,14,7,"Anthrazitgraues Karohemd",3,1,0
11,14,8,"Türkises Karohemd",3,1,0
