ComponentID,DrawableID,TextureID,Name
7,0,0,"Nichts"
7,1,0,"Silberkette"
7,1,1,"Goldkette"
7,1,2,"Bronzekette"
7,2,0,"Silberkette"
7,2,1,"Goldkette"
7,2,2,"Bronzekette"
7,3,0,"Silberene Diamantohrringe"
7,3,1,"Goldene Diamantohrringe"
7,3,2,"Schwarze Diamantohrringe"
7,4,0,"Schwarzes Schweißband"
7,4,1,"Rotes Schweißband"
7,4,2,"Grünes Schweißband"
7,4,3,"Graues Schweißband"
7,4,4,"Gelbes Schweißband"
7,4,5,"Lila Schweißband"
7,4,6,"Rot gestreiftes Schweißband"
7,4,7,"Pinkes Schweißband"
7,4,8,"Marineblaues Schweißband"
7,4,9,"LS Panic Schweißband"
7,4,10,"LC Pentetrators Schweißband"
7,4,11,"LC Salamanders Schweißband"
7,4,12,"Blaues Schweißband"
7,4,13,"Himmelblaues Schweißband"
7,4,14,"Schweißband 14"
7,4,15,"Schweißband 15"
7,5,0,"Weißes Tuch"
7,5,1,"Graues Tuch"
7,5,2,"Schwarzes Tuch"
7,5,3,"Marineblaues Tuch"
7,5,4,"Rotes Tuch"
7,5,5,"Grünes Tuch"
7,6,0,"Weißes Tuch"
7,6,1,"Graues Tuch"
7,6,2,"Schwarzes Tuch"
7,6,3,"Marineblaues Tuch"
7,6,4,"Rotes Tuch"
7,6,5,"Grünes Tuch"
7,10,0,"Weiße Krawatte"
7,10,1,"Graue Krawatte"
7,10,2,"Schwarze Krawatte"
7,10,3,"Blaue Krawatte"
7,10,4,"Marineblaue Krawatte"
7,10,5,"Rote Krawatte"
7,10,6,"Grüne Krawatte"
7,10,7,"Orange Krawatte"
7,10,8,"Gelbe Krawatte"
7,10,9,"Lila Krawatte"
7,10,10,"Braune Krawatte"
7,10,11,"Steingraue Krawatte"
7,10,12,"Zweifarbige karierte Krawatte"
7,10,13,"Hellbraune karierte Krawatte"
7,10,14,"Gold gestreifte Krawatte"
7,10,15,"Rote gestreifte Krawatte"
7,11,0,"Weiße Fliege"
7,11,1,"Graue Fliege"
7,11,2,"Schwarze Fliege"
7,11,3,"Blaue Fliege"
7,11,4,"Marineblaue Fliege"
7,11,5,"Rote Fliege"
7,11,6,"Grüne Fliege"
7,11,7,"Orange Fliege"
7,11,8,"Gelbe Fliege"
7,11,9,"Lila Fliege"
7,11,10,"Braune Fliege"
7,11,11,"Steingraue Fliege"
7,11,12,"Blaue karierte Fliege"
7,11,13,"Orange karierte Fliege"
7,11,14,"Erdbraune Fliege"
7,11,15,"Rote karierte Fliege"
7,12,0,"Weiße schmale Krawatte"
7,12,1,"Graue schmale Krawatte"
7,12,2,"Schwarze schmale Krawatte"
7,12,3,"Blaue schmale Krawatte"
7,12,4,"Marineblaue schmale Krawatte"
7,12,5,"Rote schmale Krawatte"
7,12,6,"Grüne schmale Krawatte"
7,12,7,"Orange schmale Krawatte"
7,12,8,"Gelbe schmale Krawatte"
7,12,9,"Lila schmale Krawatte"
7,12,10,"Braune schmale Krawatte"
7,12,11,"Steingraue schmale Krawatte"
7,12,12,"Karierte schmale Krawatte"
7,12,13,"Braun karierte schmale Krawatte"
7,12,14,"Goldene schmale Krawatte"
7,12,15,"Rot gestreifte schmale Krawatte"
7,16,0,"Covgari Silberkette"
7,16,1,"Gaulle Goldkette"
7,16,2,"Bronzekette"
7,17,0,"Covgari Silberkette"
7,17,1,"Gaulle Goldkette"
7,17,2,"Bronzekette"
7,18,0,"Weihnachtskrawatte 1"
7,19,0,"Weihnachtskrawatte 2"
7,20,0,"Feine rote Krawatte"
7,20,1,"Feine pinke Krawatte"
7,20,2,"Feine weiße Krawatte"
7,20,3,"Feine braune Krawatte"
7,20,4,"Feine blaue Krawatte"
7,21,0,"Blaue Krawatte"
7,21,1,"Marineblaue Krawatte"
7,21,2,"Rote Krawatte"
7,21,3,"Grüne Krawatte"
7,21,4,"Orange Krawatte"
7,21,5,"Gelbe Krawatte"
7,21,6,"Lila Krawatte"
7,21,7,"Braune Krawatte"
7,21,8,"Steingraue Krawatte"
7,21,9,"Graue karierte Krawatte"
7,21,10,"Hellbraune karierte Krawatte"
7,21,11,"Gold gestreifte Krawatte"
7,21,12,"Rot gestreifte Krawatte"
7,22,0,"Weiße Fliege"
7,22,1,"Graue Fliege"
7,22,2,"Blaue Fliege"
7,22,3,"Marineblaue Fliege"
7,22,4,"Rote Fliege"
7,22,5,"Grüne Fliege"
7,22,6,"Orange Fliege"
7,22,7,"Gelbe Fliege"
7,22,8,"Lila Fliege"
7,22,9,"Braune Fliege"
7,22,10,"Steingraue Fliege"
7,22,11,"Blaue karierte Fliege"
7,22,12,"Orange karierte Fliege"
7,22,13,"Braune karierte Fliege"
7,22,14,"Rote karierte Fliege"
7,23,0,"Blaue schmale Krawatte"
7,23,1,"Marineblaue schmale Krawatte"
